#nrNodes nrCollisions nrTransmissions OverallEnergy
1 0 5078 884.061437952
2 36 10066 1752.45420134
3 88 15035 2617.53913344
4 180 20101 3499.51141478
5 248 24762 4310.97466061
6 359 30173 5253.01019443
7 580 35168 6122.62163251
8 789 40374 7028.96740762
9 886 45111 7853.66197862
10 1211 50170 8734.41558528
20 4895 100178 17440.6275564
30 11084 149984 26111.6720579
40 19870 200275 34867.1533056
50 29703 248845 43323.0146765
60 43393 300465 52309.8700186
70 58536 349514 60849.1235574
80 75569 400967 69806.9048033
90 94114 450090 78359.0414746
100 114295 500232 87088.5823611
200 408742 1000987 174268.217131
300 820250 1502783 261629.086237
400 1304704 2004506 348977.246306
500 1831429 2502478 435672.37084
600 2386671 3003731 522938.705609
700 2947963 3502865 609836.13014
800 3517412 4003951 697073.390813
900 4085456 4506006 784479.350882
1000 4644564 5004112 871197.804331
1200 5754272 6007864 1045947.39796
1400 6829384 7004667 1219487.19582
1600 7888135 8006153 1393842.28705
1 0 101 17.583734784
2 0 188 32.730120192
3 0 278 48.398794752
4 2 390 67.89758976
5 7 443 77.124698112
6 2 521 90.704216064
